n°,Giocatore,Squadra,Ruolo,Anno,Altezza,P.S.,P.G,Media
49,Boccasavia Dario,Torrazzo JR  Cremona,A,1998,195,258,22,"11,73"
50,Formenti Mattia,Di.Po.  Vimercate,G/A,1993,193,258,29,"8,90"
51,Assoni Andrea,Virtus  Brescia,C,1996,195,253,28,"9,04"
52,Farinatti Luca,Fortitudo  Busnago,A/C,1994,195,252,27,"9,33"
53,Santinelli Matteo,Virtus  Bellini Gorle,G,1996,185,248,27,"9,19"
54,Persico Benedetto,Romano  Lombardo BK,C,1985,200,247,28,"8,82"
55,Campana Mattia,Csa Agrate  Brianza,A,1986,194,237,30,"7,90"
56,Cogliati Raffaele,Csa Agrate  Brianza,A,1983,195,236,30,"7,87"
57,Rota Lorenzo,Remer  Bluorobica Bergamo,G,1999,194,235,28,"8,39"
58,Corti Pieralberto,New Basket  Prevalle,G,1987,190,234,30,"7,80"
59,Deleidi Lorenzo,Romano  Lombardo BK,G,1992,185,234,30,"7,80"
60,Nani Matteo,Virtus  Bellini Gorle,P,1997,183,232,28,"8,29"
61,Bassi Leonardo,Virtus  Bellini Gorle,A/C,1997,198,232,28,"8,29"
62,Rota Riccardo,Csa Agrate  Brianza,G,1988,180,230,30,"7,67"
63,Rakic Nemanja,Bk Lions  Del Chiese,G,1992,191,225,30,"7,50"
64,Franzosi Davide,Bk Lions  Del Chiese,G,1994,188,224,28,"8,00"
65,Bonomi Alessandro,Fortitudo  Busnago,G/A,1993,193,220,29,"7,59"
66,Vandi,U.S.S.A. Nova,xx,,,216,17,"12,71"
67,Mussoni Alessandro,Sas  Verolanuova,C,1986,192,212,28,"7,57"
68,Kaburi Maurice,Di.Po.  Vimercate,C,1982,193,212,29,"7,31"
69,Piantoni Giacomo,Virtus  Brescia,A,1997,193,211,25,"8,44"
70,Simoncini Daniele,New Basket  Prevalle,P,1993,187,211,27,"7,81"
71,Colombo Simone,Csa Agrate  Brianza,C,1988,200,211,29,"7,28"
72,Orsatti Massimo,Sas  Verolanuova,P,1983,180,210,25,"8,40"
73,Gibellini Nicola,Seriana  Alzano,G,1991,185,210,30,"7,00"
74,Mobio Joseph,Virtus  Brescia,A,1998,192,209,29,"7,21"
75,Arduino,Gagà Milano  Varedo,,,,206,16,"12,88"
76,Ciani Gabriele,Virtus  Bellini Gorle,G,1997,186,205,24,"8,54"
77,Prettato Cristian,Virtus  Bellini Gorle,A,1992,196,205,29,"7,07"
78,Caffi Mauro,Seriana  Alzano,P,1978,181,204,28,"7,29"
79,Boccafurni Eugenio,Virtus  Bellini Gorle,A,1997,194,204,28,"7,29"
80,Catalfamo Ivan,Csa Agrate  Brianza,P/G,1995,180,203,27,"7,52"
81,Bianchi Carlo,Gagà Milano  Varedo,A,1982,193,200,28,"7,14"
82,Franzosi Pietro,Bk Lions  Del Chiese,G/A,1996,190,196,30,"6,53"
83,Mazzoleni Pietro,Fortitudo  Busnago,A,1982,190,193,24,"8,04"
84,Gomma Alberto,Di.Po.  Vimercate,A,1995,193,190,30,"6,33"
85,Mazzanti Enrico,Romano  Lombardo BK,G,1995,192,190,30,"6,33"
86,Bonacina Matteo,Fortitudo  Busnago,A/C,1989,196,189,25,"7,56"
87,De Marco Riccardo,Pall.  Gardonese,C,1975,202,186,29,"6,41"
88,Paderno Luca,Sas  Verolanuova,G,1996,185,185,28,"6,61"
89,Tontini Antonio,Virtus  Bellini Gorle,G,1987,188,184,23,"8,00"
90,Arosio Daniele,U.S.S.A. Nova,C,1991,200,184,29,"6,34"
91,Bozzetti Andrea,Torrazzo JR  Cremona,G,1997,190,179,29,"6,17"
92,Salibra Lorenzo,U.S.S.A. Nova,P,1990,185,170,25,"6,80"
93,Jancic,Bk Lions  Del Chiese,xx,,,166,26,"6,38"
94,Celeri Gabriele,Remer  Bluorobica Bergamo,P,1999,173,165,28,"5,89"
95,Aledjou Moa,Gagà Milano  Varedo,G/A,1997,192,164,30,"5,47"
96,Danelli Giovanni,Fortitudo  Busnago,A,1995,190,162,25,"6,48"
97,Lonati Andrea,U.S.S.A. Nova,A,1985,190,161,29,"5,55"
98,Velez Diego,U.S.S.A. Nova,G,1996,185,159,28,"5,68"
99,Colpani,Bk Lions  Del Chiese,xx,,,159,29,"5,48"
100,Salvini Alessandro,Sas  Verolanuova,G,1984,185,153,12,"12,75"
101,Albani Angelo Mario,Romano  Lombardo BK,C,1980,200,149,20,"7,45"
102,Gianotti Davide,U.S.S.A. Nova,A,1990,190,147,14,"10,50"
103,Sironi Alberto,XXL Bergamo,A/C,1994,191,147,29,"5,07"
104,Piva Dario,Csa Agrate  Brianza,A/C,1994,196,146,29,"5,03"
105,Scalvini Stefano,Pall.  Gardonese,P,1976,187,146,30,"4,87"
106,Pisacane Luca,Torrazzo JR  Cremona,P,1997,180,145,27,"5,37"
107,Pezzali Alessandro,Sas  Verolanuova,P,1996,180,144,23,"6,26"
108,Padova Alessandro,Virtus  Bellini Gorle,C,1981,196,143,27,"5,30"
109,Addo,Bk Lions  Del Chiese,,,,141,14,"10,07"
110,Piantoni Roberto,Seriana  Alzano,A/C,1994,195,141,29,"4,86"
111,Carota Alessandro,U.S.S.A. Nova,A,1997,192,140,21,"6,67"
112,Moretti Denis,Gagà Milano  Varedo,P,1992,185,140,26,"5,38"
113,Ventruto Daniel,U.S.S.A. Nova,C,1987,195,140,27,"5,19"
114,Sartori Francesco,XXL Bergamo,G/A,1994,194,138,30,"4,60"
115,Monzio Compagnoni Luca,XXL Bergamo,G,1996,190,138,30,"4,60"
116,Ferri Andrea,Remer  Bluorobica Bergamo,G,1996,194,137,13,"10,54"
117,Bettelli Stefano,Virtus  Brescia,P/G,1996,178,134,24,"5,58"
118,Gabaldi Mauro,Di.Po.  Vimercate,C,1979,193,133,27,"4,93"
119,Pietrobon Andrea,U.S.S.A. Nova,A,1992,191,127,18,"7,06"
120,Armanni Marco,Romano  Lombardo BK,P,1984,180,125,25,"5,00"
121,Moretti Alberto,Remer  Bluorobica Bergamo,G,1999,182,122,27,"4,52"
122,Colombo Ruggero,Seriana  Alzano,A/C,1987,196,119,29,"4,10"
123,Dell'Aira Gianmarco,Virtus  Brescia,P,1997,178,114,27,"4,22"
124,Galli Alberto,Gagà Milano  Varedo,A,1992,188,111,26,"4,27"
125,Marelli Giovanni,Virtus  Brescia,G,1997,185,108,25,"4,32"
126,Oliva Bautista,Remer  Bluorobica Bergamo,P,1998,180,107,27,"3,96"
127,Motta Davide,Csa Agrate  Brianza,P/G,1995,185,107,28,"3,82"
128,Carzaniga Tommaso,Di.Po.  Vimercate,G,1993,185,98,27,"3,63"
129,Pedretti Andrea,Pall.  Gardonese,P,1996,170,98,28,"3,50"
130,Villa Gabriele,Csa Agrate  Brianza,C,1984,200,95,8,"11,88"
131,Gussago Gabriele,Virtus  Brescia,A/C,1996,193,95,24,"3,96"
132,Cicchetti,Bk Lions  Del Chiese,xx,,,95,25,"3,80"
133,Locatelli Alberto,Virtus  Bellini Gorle,P,1983,180,95,28,"3,39"
134,Pilati Simone,Pall.  Gardonese,A,1992,195,93,22,"4,23"
135,Verlato Federico,Gagà Milano  Varedo,A,1995,195,90,25,"3,60"
136,Brunelli Luca,Pall.  Gardonese,A,1995,198,88,30,"2,93"
137,Tolasi Francesco,Torrazzo JR  Cremona,P,1998,178,85,20,"4,25"
138,Abbinante Fabrizio,New Basket  Prevalle,C,1974,196,82,27,"3,04"
139,Cacciani Luigi,Remer  Bluorobica Bergamo,A,1999,203,81,24,"3,38"
140,Faini Davide,Virtus  Brescia,G/A,1997,187,81,27,"3,00"
141,Canova Filippo,Torrazzo JR  Cremona,G,1996,188,80,26,"3,08"
142,Corno Michele,Fortitudo  Busnago,P/G,1982,188,79,28,"2,82"
143,Bacuzzi Valerio,Gagà Milano  Varedo,C,1991,200,72,9,"8,00"
144,Perini,Torrazzo JR  Cremona,x,,,72,19,"3,79"
145,Cappelletti Stefano,U.S.S.A. Nova,A/C,1985,191,72,28,"2,57"
146,Mazzoleni Marco,Fortitudo  Busnago,A,1998,185,68,22,"3,09"
147,Bertocchi Mattia,Remer  Bluorobica Bergamo,C,1997,202,67,24,"2,79"
148,Rovetta Gabriele,Seriana  Alzano,G/A,1998,185,65,24,"2,71"
149,Signorelli Michele,Virtus  Bellini Gorle,P/G,1989,182,64,16,"4,00"
150,Moro Filippo,Remer  Bluorobica Bergamo,G,1999,185,61,22,"2,77"
151,Casati Mattia,Gagà Milano  Varedo,A/C,1981,196,57,18,"3,17"
152,Delli Paoli Luca,Remer  Bluorobica Bergamo,G/A/C,1998,198,57,27,"2,11"
153,Greco Matteo,Torrazzo JR  Cremona,A,1999,195,56,25,"2,24"
154,Fraboni Marco,New Basket  Prevalle,P,1987,177,56,28,"2,00"
155,Colombo Marco,XXL Bergamo,G,1997,187,55,28,"1,96"
156,Mariani Matteo,U.S.S.A. Nova,P,1998,190,50,19,"2,63"
157,Motta Sebastiano,U.S.S.A. Nova,A,1997,188,47,26,"1,81"
158,Capelli Riccardo,XXL Bergamo,P,1997,177,47,28,"1,68"
159,Alfieri Andrea,XXL Bergamo,A/C,1997,193,46,24,"1,92"
160,Vertova Pietro,Virtus  Brescia,A,1996,192,44,24,"1,83"
161,Beltrami Cesare,Torrazzo JR  Cremona,P,1997,185,43,13,"3,31"
162,Minini Dario,Sas  Verolanuova,C,1996,204,43,20,"2,15"
163,Maresca Gianmaria,Torrazzo JR  Cremona,A,1999,189,42,18,"2,33"
164,Cortinovis Cristian,Seriana  Alzano,G,1998,185,41,22,"1,86"
165,Turatti Federico,Gagà Milano  Varedo,A,1992,190,41,23,"1,78"
166,Lazzari Francesco,Torrazzo JR  Cremona,A,1998,190,39,23,"1,70"
167,Scarabelli Gabriele,Fortitudo  Busnago,P,1982,182,38,5,"7,60"
168,Cotruta,Bk Lions  Del Chiese,xx,,,38,28,"1,36"
169,Tiramani Andrea,Romano  Lombardo BK,G,1997,194,35,11,"3,18"
170,Orlandelli Filippo,Torrazzo JR  Cremona,G,1999,187,34,16,"2,13"
171,Zucchetti Giovanni,Virtus  Bellini Gorle,A,1995,200,34,27,"1,26"
172,Ferrari Federico,Pall.  Gardonese,G,1996,188,33,11,"3,00"
173,Andreoli Nicola,Bk Lions  Del Chiese,A,1997,190,32,11,"2,91"
174,Pizzul Paolo,Csa Agrate  Brianza,A,1996,190,30,13,"2,31"
175,Danelli Lorenzo,Fortitudo  Busnago,P/G,1997,181,29,19,"1,53"
176,Carzaniga Matteo,Di.Po.  Vimercate,P,1996,179,28,27,"1,04"
177,Scieghi Nicolò,Pall.  Gardonese,G/A,1997,190,24,16,"1,50"
178,Morello Lorenzo,Torrazzo JR  Cremona,A,1999,185,24,17,"1,41"
179,Giacomassi Matteo,Torrazzo JR  Cremona,G,1997,185,22,7,"3,14"
180,Coletti Daniele,Virtus  Bellini Gorle,A,1994,191,20,17,"1,18"
181,Antoniazzi,Torrazzo JR  Cremona,x,,,19,10,"1,90"
182,Sala Tommaso,Fortitudo  Busnago,A,1979,190,19,17,"1,12"
183,Beccagutti Davide,Pall.  Gardonese,P,1997,178,17,10,"1,70"
184,Angeloni Fabio,Virtus  Bellini Gorle,P,1997,175,17,21,"0,81"
185,Alajmo Leonardo,Di.Po.  Vimercate,A,1995,192,16,7,"2,29"
186,Chiari Stefano,New Basket  Prevalle,,,,15,13,"1,15"
187,Ravasi Mattia,U.S.S.A. Nova,G/A,1998,185,15,16,"0,94"
188,Ghezzi Simone,Csa Agrate  Brianza,G,1996,185,14,9,"1,56"
189,Chiari Francesco,Csa Agrate  Brianza,A,1988,196,13,4,"3,25"
190,Dassi Alberto,Gagà Milano  Varedo,P,1996,180,13,13,"1,00"
191,Alberghina,XXL Bergamo,,,,12,3,"4,00"
192,Bertoni Luca,Virtus  Brescia,G/A,1997,185,12,9,"1,33"
193,Bertoldi Giordano,New Basket  Prevalle,G,1995,185,11,12,"0,92"
194,Galati Francesco,Fortitudo  Busnago,G,1997,183,9,10,"0,90"
195,Banfi Giacomo,Di.Po.  Vimercate,G,1994,185,9,14,"0,64"
196,Preti Daniele,Sas  Verolanuova,P,1997,183,9,14,"0,64"
197,Brunelli,Bk Lions  Del Chiese,xxx,,,8,1,"8,00"
198,Grazioli Francesco,XXL Bergamo,P,1997,189,8,3,"2,67"
199,Patroni Gioiele,Remer  Bluorobica Bergamo,G,1999,183,8,4,"2,00"
200,Gadda Axel,Fortitudo  Busnago,P,1997,180,8,4,"2,00"
201,Boschetti,Bk Lions  Del Chiese,XX,,,8,9,"0,89"
202,Lui Riccardo,Bk Lions  Del Chiese,P,1998,,8,12,"0,67"
203,Olivieri Michele,New Basket  Prevalle,C,1995,198,8,15,"0,53"
204,Leuca,Virtus  Brescia,,,,7,6,"1,17"
