n°,Giocatore,Squadra,Ruolo,Anno,Altezza,P.S.,P.G,Media
45,Galbiati Alberto,ItalControlMeters  Villasanta,G,1992,187,182,26,"7,00"
46,Trabattoni Filippo,Sporting  Milanino,A,1990,190,178,12,"14,83"
47,Locatelli Riccardo,Ferrall  Cavenago,C,1992,196,176,21,"8,38"
48,Lamalfa Paolo,Ferrall  Cavenago,A/C,1996,190,175,23,"7,61"
49,Pruni Giorgio,Asa Cinisello,P/G,1991,182,173,23,"7,52"
50,Buga Andrea,Asa Cinisello,P/G,1984,178,173,24,"7,21"
51,Lomuscio Alberto,Basket  Seregno,G,1990,180,173,25,"6,92"
52,Farina Matteo,Basket  Seregno,C,1987,199,173,25,"6,92"
53,Granata Andrea,Asa Cinisello,C,1984,198,172,24,"7,17"
54,Zanussi Marco,C.B.B.A.  Brugherio,C,1992,,171,14,"12,21"
55,Dal Bianco Marco,C.B.B.A.  Brugherio,G,1986,186,168,15,"11,20"
56,Mariani Marco,Gerardiana  Monza,A/C,1993,,166,25,"6,64"
57,Agostinello Stefano,Asa Cinisello,P/G,1991,175,164,25,"6,56"
58,Toffoli Marco,Sporting  Milanino,G,1991,183,163,14,"11,64"
59,Mari Alessandro,Basket  Seregno,G,1989,183,156,22,"7,09"
60,Beretta Luigi,Forti E  Liberi Monza,A/C,1985,192,151,10,"15,10"
61,Favalessa Matteo,ItalControlMeters  Villasanta,P,1999,183,149,24,"6,21"
62,Figini Andrea,O.S.A.L.  Novate,G,1994,184,147,24,"6,13"
63,Vitale Riccardo,Basket  Biassono,P,1996,175,146,17,"8,59"
64,Vaiarelli Fabio,Basket  Brusuglio,G,1986,,143,22,"6,50"
65,Giraldo Marco,Basket  Biassono,A/C,1986,197,143,23,"6,22"
66,Chessa Alessandro,Politecnico  di Milano,G,1991,183,137,13,"10,54"
67,Majerna Fabrizio,S.Giuseppe Arese,P,1983,180,137,24,"5,71"
68,Marin Davide,S.Giuseppe Arese,P,1994,175,136,22,"6,18"
69,Levati Marco,Gerardiana  Monza,P,1993,,135,24,"5,63"
70,Calloni Nicola,C.B.B.A.  Brugherio,P/G,1988,,134,11,"12,18"
71,Brambilla Paolo,Basket  Seregno,A,1981,181,134,20,"6,70"
72,Gagliardi Mauro,O.S.A.L.  Novate,xx,1980,,132,19,"6,95"
73,Benetollo Lorenzo,Politecnico  di Milano,A,1993,192,130,11,"11,82"
74,Barbieri Matteo,Ferrall  Cavenago,G/A,1987,186,130,20,"6,50"
75,Tardini Marco,Politecnico  di Milano,C,1992,196,129,13,"9,92"
76,Carmagnola Andrea,C.B.B.A.  Brugherio,G/A,1995,,129,15,"8,60"
77,Chinosi Claudio,S.Giuseppe Arese,A,1985,185,129,21,"6,14"
78,Casale Daniele,Gerardiana  Monza,P,1996,,123,26,"4,73"
79,Casati Daniele,ItalControlMeters  Villasanta,A/C,1994,197,119,25,"4,76"
80,Brigatti Daniele,Ferrall  Cavenago,G/A,1986,190,111,14,"7,93"
81,Cervato Stefano,Basket  Biassono,P,1985,180,111,24,"4,63"
82,Siragusa Filippo,ItalControlMeters  Villasanta,A/C,1989,195,111,26,"4,27"
83,Colombo Giorgio,Basket  Biassono,A,1992,192,108,15,"7,20"
84,Pagano Andrea,Ferrall  Cavenago,P/G,1990,176,107,15,"7,13"
85,Frassoni Fabio,Basket  Biassono,G,1986,187,106,24,"4,42"
86,Gheller Simone,S.Giuseppe Arese,A,1986,187,104,17,"6,12"
87,Minoggio Matteo,Mojazza Milano,P,1994,,103,23,"4,48"
88,Magni Andrea,C.B.B.A.  Brugherio,C,1992,,101,15,"6,73"
89,Sangalli Stefano,Forti E  Liberi Monza,G,1990,,100,20,"5,00"
90,Mercante Emanuele,Ferrall  Cavenago,A,1986,185,96,15,"6,40"
91,Gorla Riccardo,S.Giuseppe Arese,A/C,1993,194,96,16,"6,00"
92,Gironi Andrea,C.B.B.A.  Brugherio,xx,1995,,95,11,"8,64"
93,Saini Marco,ItalControlMeters  Villasanta,A/C,1995,195,94,26,"3,62"
94,Rossi Emanuele,Basket  Brusuglio,G,1984,,92,20,"4,60"
95,Santambrogio Stefano,Gerardiana  Monza,G,1991,,91,24,"3,79"
96,Beretta Davide,Basket  Seregno,P,1996,180,90,26,"3,46"
97,Sita Nicola,Sporting  Milanino,A,1996,191,89,14,"6,36"
98,Pozzi Umberto,O.S.A.L.  Novate,A,1984,185,85,16,"5,31"
99,Gallucci Matteo,Forti E  Liberi Monza,xx,1999,,85,18,"4,72"
100,Carle Guillaume,S.Giuseppe Arese,G,1998,178,85,20,"4,25"
101,Barbato Alessio,Politecnico  di Milano,G,1991,190,84,10,"8,40"
102,Tassini Nicola,Forti E  Liberi Monza,G/A,1980,192,82,9,"9,11"
103,Spaggiari Daniele,Basket  Biassono,G/A,1996,180,81,20,"4,05"
104,Beretta Alberto,Basket  Brusuglio,P/G,1986,,77,22,"3,50"
105,Brunetti Nicolò,Ferrall  Cavenago,P/G,1990,183,72,15,"4,80"
106,Casati Luca,Basket  Biassono,G,1993,182,70,22,"3,18"
107,Del Grosso Luca,Basket  Brusuglio,A,1995,,69,21,"3,29"
108,Torri Gianmatteo,Politecnico  di Milano,P,1990,175,68,13,"5,23"
109,Nardini Francesco,Forti E  Liberi Monza,x,1999,,67,19,"3,53"
110,Zaccarini Luca,Mojazza Milano,G/A/C,1994,,67,22,"3,05"
111,Forni Simone,S.Giuseppe Arese,G,1993,179,66,10,"6,60"
112,Monea Gabriele,Forti E  Liberi Monza,x,1988,,65,11,"5,91"
113,Maggi Giovanni,Politecnico  di Milano,G/A,1988,192,64,11,"5,82"
114,Buschi Mattia,Forti E  Liberi Monza,P/G,1978,180,63,12,"5,25"
115,Paolucci Andrea,O.S.A.L.  Novate,P/G,1997,178,63,17,"3,71"
116,Gadia Domenico,S.Giuseppe Arese,C,1972,192,63,19,"3,32"
117,Losi Luca,Basket  Seregno,A,1991,190,63,23,"2,74"
118,Belotti Andrea,Basket  Biassono,G,1997,180,61,17,"3,59"
119,Petitti Lorenzo,O.S.A.L.  Novate,P,1994,180,61,19,"3,21"
120,Ghezzi Andrea,Gerardiana  Monza,A,1994,,60,24,"2,50"
121,Iuculano Paolo,Ferrall  Cavenago,A/C,1982,187,57,12,"4,75"
122,Lecce Lorenzo,S.Giuseppe Arese,G,1991,175,56,11,"5,09"
123,Manduzio Matteo,Ferrall  Cavenago,G,1992,185,54,12,"4,50"
124,Chirico Simone,Mojazza Milano,xx,1999,,53,19,"2,79"
125,Di Stefano Giacomo,Basket  Seregno,A,1992,188,52,26,"2,00"
126,Colombo Gabriele,Asa Cinisello,A,1995,190,51,23,"2,22"
127,Massironi Alessio,C.B.B.A.  Brugherio,G/A,1991,,50,12,"4,17"
128,Iniziato Martino,Sporting  Milanino,P,1986,178,50,23,"2,17"
129,Rota,Basket  Brusuglio,,,,49,9,"5,44"
130,Sormani Riccardo,ItalControlMeters  Villasanta,G/A,1997,190,49,21,"2,33"
131,Platini Stefano,Mojazza Milano,xx,1998,,49,25,"1,96"
132,Catalano Matteo,C.B.B.A.  Brugherio,G,1986,,48,12,"4,00"
133,Schneble Federico,Forti E  Liberi Monza,xx,1984,,47,14,"3,36"
134,Pirovano Riccardo,Basket  Biassono,P,1986,183,47,22,"2,14"
135,Ferrario Luca,S.Giuseppe Arese,G,1995,180,45,20,"2,25"
136,Banfi Tommaso,Gerardiana  Monza,P,1998,,45,20,"2,25"
137,Taverna Federico,Sporting  Milanino,A,1995,190,42,10,"4,20"
138,Boriotti Andrea,Ferrall  Cavenago,G/A/C,1988,192,42,15,"2,80"
139,Basilico Filippo,Basket  Brusuglio,G,1998,,42,20,"2,10"
140,Noro Pablo,Basket  Brusuglio,A,1993,,42,22,"1,91"
141,Casalini Roberto,Politecnico  di Milano,G,1996,192,40,11,"3,64"
142,Negri Giovanni,Mojazza Milano,G,1996,,40,23,"1,74"
143,Zoboli Andrea,Sporting  Milanino,A,1982,192,39,9,"4,33"
144,Pozzi Stefano,Asa Cinisello,A/C,1987,202,39,12,"3,25"
145,Broglia Paolo,Politecnico  di Milano,G,1996,184,38,10,"3,80"
146,Smacchia Nicola,C.B.B.A.  Brugherio,P,1989,,38,10,"3,80"
147,Cazzaniga Alessandro,Sporting  Milanino,G,1996,182,38,18,"2,11"
148,Pizzo Andrea,Gerardiana  Monza,G,1994,,35,13,"2,69"
149,Durali andrea,Basket  Seregno,C,1994,198,34,17,"2,00"
150,Colombo T.,O.S.A.L.  Novate,,,,33,14,"2,36"
151,Terrana Lorenzo,Basket  Seregno,A,1997,189,31,17,"1,82"
152,Lopresti,Sporting  Milanino,,,,30,4,"7,50"
153,Orsi Massimiliano,C.B.B.A.  Brugherio,G,1990,,30,10,"3,00"
154,Ayala Vincent,Basket  Brusuglio,P,1998,,30,14,"2,14"
155,Piedi Mattia,Basket  Seregno,G,1997,181,29,22,"1,32"
156,Arrigoni Gabriele,Gerardiana  Monza,A,1994,,28,10,"2,80"
157,Petrucci Stefano,Politecnico  di Milano,A/C,1988,195,27,4,"6,75"
158,Villa Nicolò,O.S.A.L.  Novate,G,1994,192,27,7,"3,86"
159,Motta,Forti E  Liberi Monza,,,,27,11,"2,45"
160,Bucci Jacopo,Politecnico  di Milano,C,1996,195,26,12,"2,17"
161,Mazza Eros,Ferrall  Cavenago,C,1987,190,25,3,"8,33"
162,Aiello Andrea,Sporting  Milanino,A,1982,186,25,9,"2,78"
163,Brambilla Alberto,Asa Cinisello,G/A,1996,191,25,10,"2,50"
164,Mauri Jacopo,Ferrall  Cavenago,P,1995,178,25,16,"1,56"
165,Gangi Piero,Basket  Biassono,C,1987,200,24,12,"2,00"
166,Pelucchi Tommaso,Sporting  Milanino,C,1981,198,23,4,"5,75"
167,Pessina Andrea,Gerardiana  Monza,G,1997,,23,14,"1,64"
168,Crippa,Asa Cinisello,,,,21,6,"3,50"
169,Viviani Alberto,Politecnico  di Milano,G/A,1995,190,21,10,"2,10"
170,Pirola Enrico,Mojazza Milano,xx,1998,,21,13,"1,62"
171,Capra Lorenzo,Asa Cinisello,A,1995,192,21,18,"1,17"
172,Basile Mattia,O.S.A.L.  Novate,C,1987,200,20,12,"1,67"
173,Pontieri Francesco,Politecnico  di Milano,C,1996,200,19,2,"9,50"
174,Frigerio Danele,Gerardiana  Monza,P/G,1994,,19,16,"1,19"
175,Timossi Emanuele,C.B.B.A.  Brugherio,C,1991,201,18,5,"3,60"
176,El Sissy,Ferrall  Cavenago,x,,,17,6,"2,83"
177,De Santis,Sporting  Milanino,,,,17,6,"2,83"
178,Ghidini,Forti E  Liberi Monza,,,,17,11,"1,55"
179,Boriani Alessandro,Sporting  Milanino,G,1997,175,17,20,"0,85"
180,Franchellucci,Forti E  Liberi Monza,xx,,,16,12,"1,33"
181,D'Amore,Sporting  Milanino,,,,15,4,"3,75"
182,Becchi Davide,Basket  Brusuglio,A/C,1990,,15,10,"1,50"
183,Millevoi Francesco,Politecnico  di Milano,C,1993,200,14,2,"7,00"
184,Lazzaroni Stefano,S.Giuseppe Arese,P,1991,175,14,3,"4,67"
185,Zenatti Paolo,Politecnico  di Milano,P,1995,180,14,5,"2,80"
186,Vismara Filippo,Ferrall  Cavenago,P,1998,172,14,10,"1,40"
187,Mantovani,Sporting  Milanino,,,,13,9,"1,44"
188,Viganò Jacopo,Mojazza Milano,G,1998,,13,10,"1,30"
189,Paese Marco,Ferrall  Cavenago,A,1986,182,12,5,"2,40"
190,Forneris Andrea,Basket  Biassono,A,1985,190,12,10,"1,20"
191,Lovato,O.S.A.L.  Novate,,,,11,7,"1,57"
192,Tarabini,O.S.A.L.  Novate,,,,10,3,"3,33"
193,Cavallotti Luca,Forti E  Liberi Monza,G,1986,178,10,4,"2,50"
194,Prati Marco,S.Giuseppe Arese,P,1991,175,10,5,"2,00"
195,Pasetti Stefano,Asa Cinisello,A,1985,192,10,8,"1,25"
196,Busnelli Samuele,Gerardiana  Monza,P,1997,,10,12,"0,83"
197,Patroni Simone,Mojazza Milano,x,,,9,7,"1,29"
198,Pessina Alberto,Basket  Brusuglio,A,1998,,9,8,"1,13"
199,Parolini,Forti E  Liberi Monza,x,,,7,4,"1,75"
200,Bernacchini Damiano,Ferrall  Cavenago,A,1992,190,6,1,"6,00"
201,Dercenno Cristian,S.Giuseppe Arese,A,1999,187,6,2,"3,00"
202,Molteni,Ferrall  Cavenago,,,,6,2,"3,00"
203,Perego,Forti E  Liberi Monza,,,,6,3,"2,00"
204,Giovannoni Matteo,Gerardiana  Monza,P/G,1996,,6,6,"1,00"
205,Pagliari Gabriele,C.B.B.A.  Brugherio,A/C,1996,,6,10,"0,60"
206,Foiani Lukas,Forti E  Liberi Monza,xx,1991,,4,1,"4,00"
207,Redaelli,Basket  Seregno,,,,4,1,"4,00"
208,Lupo,Ferrall  Cavenago,,,,4,1,"4,00"
209,Spinosa Riccardo,Basket  Brusuglio,G,1999,,4,4,"1,00"
210,Lanza Alessandro,Ferrall  Cavenago,A/C,1999,195,4,5,"0,80"
211,Pistillo Marcello,Asa Cinisello,P,1995,168,4,8,"0,50"
212,Villa Federico,Basket  Biassono,A/C,1996,193,4,9,"0,44"
213,Cavalletti,Sporting  Milanino,,,,3,1,"3,00"
214,Lo Piparo,Ferrall  Cavenago,,,,3,1,"3,00"
215,Marchese,Sporting  Milanino,,,,3,3,"1,00"
216,Fernandes,O.S.A.L.  Novate,,,,2,1,"2,00"
217,Castignano,Ferrall  Cavenago,,,,2,1,"2,00"
218,Iudica Alessandro,O.S.A.L.  Novate,A,1983,195,2,2,"1,00"
219,Frustagli,Mojazza Milano,x,,,2,4,"0,50"
220,Tosatori Andrea,Sporting  Milanino,A,1996,188,2,5,"0,40"
221,Picelli,Asa Cinisello,,,,2,8,"0,25"
222,Piccinini Carlo,Sporting  Milanino,P,1989,178,1,1,"1,00"
223,Colombo Mattia,S.Giuseppe Arese,P,1999,173,1,2,"0,50"
224,Fajoui,ItalControlMeters  Villasanta,,,,1,3,"0,33"
225,Falgari Marco,Sporting  Milanino,P,1993,175,1,3,"0,33"
226,Castiglioni Niccolò,O.S.A.L.  Novate,A,1997,192,1,5,"0,20"
